cycle,hypothesis_id,outcome,command_id
1,H-001,passed,test.prime-rlm.provider-free
2,H-002,passed,test.prime-rlm.recovery-read-only
3,H-003,passed,make.prime-verified-loop
4,H-004,falsified,make.prime-native-rlm-bounded
5,H-005,passed,make.prime-native-rlm-bounded
6,H-006,passed,test.prime-session-context-parity.bounded
7,H-007,passed,check.phase2-session-context-closure
8,H-008,passed,test.prime-rlm-spawn-admission.provider-free
9,H-009,falsified,audit.prime-native-rlm-bounded-receipt
10,H-010,passed,check.rlm-programmatic-closure
11,H-011,passed,check.operation-long-running-inventory
12,H-012,passed,test.prime-long-running-matrix.provider-free
13,H-013,passed,test.control-long-running.provider-free
14,H-014,passed,test.prime-heartbeat-wire.provider-free
15,H-015,passed,test.prime-heartbeat-fencing.provider-free
16,H-016,passed,test.prime-heartbeat-ipc.provider-free
17,H-017,passed,test.prime-long-running-binding.provider-free
18,H-018,passed,test.prime-residency-recovery.provider-free
19,H-019,passed,test.prime-long-running-authority.provider-free
20,H-020,passed,test.prime-long-running.bounded
21,H-021,passed,test.prime-long-running.provider-free
22,H-022,passed,check.operation-long-running-closure
23,H-023,passed,check.harness-continual-closure
24,H-024,passed,check.ecosystem-capabilities-inventory
25,H-025,passed,test.control-ecosystem.provider-free
26,H-026,passed,test.ecosystem-materialization.provider-free
27,H-027,passed,test.prime-ecosystem-adapter.provider-free
28,H-028,passed,test.prime-ecosystem-gateway.provider-free
29,H-029,passed,test.prime-ecosystem-module.provider-free
30,H-030,passed,test.prime-ecosystem-resources.provider-free
31,H-031,passed,test.prime-ecosystem-extensions.provider-free
32,H-032,passed,test.prime-ecosystem-packages.provider-free
33,H-033,passed,test.prime-ecosystem-mcp.provider-free
34,H-034,passed,check.ecosystem-capabilities-closure
35,H-035,passed,check.client-interfaces-closure
36,H-036,passed,check.operational-parity-closure
37,H-037,passed,prime-system-parity-operation-host-callback
38,H-038,passed,check.native-controller-core-provider-free
